RK,Player,TM,BYE,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$
1,Brock Bowers,LV,8,141.994944,105.2182535,1139.513685,7.470495999,211.3834713,22.35729085
2,George Kittle,SF,14,101.703173,81.76935112,1148.04169,7.27747225,199.353678,18.98641007
3,Trey McBride,ARI,8,137.0314579,99.89593281,1065.889603,6.193547834,193.6982137,17.40168657
4,Travis Kelce,KC,10,119.9956345,87.95680009,918.2689929,7.476328008,180.6632674,13.74915081
5,David Njoku,CLE,9,113.28261,75.67278348,809.6987832,5.334931235,150.8158575,5.385577275
6,Mark Andrews,BAL,7,90.04315264,63.03020685,719.9197552,7.626655029,149.2670091,4.951572878
7,Sam LaPorta,DET,8,96.2369408,68.03951715,706.9184057,6.66787268,144.7188352,3.677124377
8,Jake Ferguson,DAL,10,99.00768576,70.49347226,711.2791351,6.062438615,142.7492813,3.125233648
9,Kyle Pitts,ATL,5,99.8155872,63.08345111,745.0155576,5.046676089,136.3233378,1.324613394
10,Tucker Kraft,GB,5,85.4890848,59.92784844,713.1413965,5.693145602,135.4369375,1.076234233
11,Hunter Henry,NE,14,92.81349504,65.24788701,701.4147854,5.154583074,133.6929205,0.587541431
12,Evan Engram,DEN,12,104.57384,66.19524072,691.0783131,4.898447813,131.5961386,0
13,T.J. Hockenson,MIN,6,98.0255094,65.87314232,674.5409773,4.940485674,130.0335829,0
14,Mason Taylor,NYJ,9,86.0517074,60.92460884,612.5330215,5.300440969,123.5182524,0
15,Dalton Kincaid,BUF,7,80.35916504,56.49249302,591.476402,5.42327933,119.9335627,0
16,Brenton Strange,JAX,8,83.17224916,60.88208639,613.6914308,4.38351022,118.1112476,0
17,Tyler Warren,IND,11,89.57510268,54.55123753,615.3379594,4.582303953,116.3032384,0
18,Darren Waller,MIA,12,83.6383548,59.2159552,587.4222756,4.263548774,113.9314978,0
19,Isaiah Likely,BAL,7,64.10680976,45.19530088,539.5466548,5.333045504,108.5505889,0
20,Ja'Tavion Sanders,CAR,14,80.9869305,51.26472701,560.8361135,4.306237069,107.5533973,0
21,Dallas Goedert,PHI,9,75.73458037,51.80245297,576.0432771,3.263554537,103.0868814,0
22,Theo Johnson,NYG,14,75.08688264,51.35942773,545.9507167,3.184284519,99.38049265,0
23,Zach Ertz,WSH,12,69.22621214,48.25066986,476.2341116,4.439061628,98.38311585,0
24,Jonnu Smith,PIT,5,68.05953,46.34853993,500.5642312,4.171368594,98.25890465,0
25,Juwan Johnson,NO,11,73.7530262,47.20193677,503.6446653,3.351337511,94.07345998,0
26,Dalton Schultz,HOU,6,68.36197368,46.62286605,474.6207764,3.683206418,92.87274917,0
27,Chig Okonkwo,TEN,10,69.54277176,45.89822936,469.0799041,3.166977826,88.85897204,0
28,Colston Loveland,CHI,5,69.68804304,45.29722798,453.425252,3.468441263,88.80178677,0
29,Cade Otton,TB,9,70.12486824,45.9317887,456.5619797,3.307088786,88.46462503,0
30,Pat Freiermuth,PIT,5,54.112905,37.28379155,383.2773771,2.982703324,74.86585342,0
31,Mike Gesicki,CIN,10,52.80283708,37.27880298,362.8903871,2.945025435,72.59859281,0
32,Terrance Ferguson,LAR,8,54.91215789,37.01079442,374.9193475,2.701787993,72.20805991,0
33,AJ Barner,SEA,8,48.12295488,31.47241249,335.4959172,2.234541287,62.69304568,0
34,Michael Mayer,LV,8,44.9650656,31.47554592,328.6046994,1.978839885,60.47128221,0
35,Ben Sinnott,WSH,12,44.24231603,28.84599005,287.017601,2.307679204,56.97083035,0
36,Noah Gray,KC,10,39.6044705,27.525107,276.3520743,2.146958346,54.279511,0
37,Elijah Arroyo,SEA,8,41.24824704,26.68761583,295.4319073,1.868133108,54.0957973,0
38,Cole Kmet,CHI,5,41.46726528,27.78306774,274.1655122,2.08373008,53.81046557,0
39,Tyler Higbee,LAR,8,39.62733044,26.82770271,271.4963514,1.824283784,51.5091892,0
40,Tyler Conklin,LAC,12,32.5684674,22.83049565,229.9030912,1.849270147,45.50117783,0
41,Harold Fannin,CLE,9,36.452325,24.31370078,236.966016,1.604704251,45.4816775,0
42,Oronde Gadsden,LAC,12,28.9497488,19.77267843,211.5676592,1.581814274,40.53399078,0
43,Noah Fant,CIN,10,26.71950792,18.78381407,184.269216,1.446353683,36.49695073,0
44,Dawson Knox,BUF,7,26.090638,16.17619556,168.0512989,1.4558576,33.62837327,0
45,Tommy Tremble,CAR,14,25.8937805,16.26129415,160.8241992,1.219597062,31.53064936,0
46,Luke Musgrave,GB,5,22.1638368,15.3595389,158.9104258,1.290201268,31.31201963,0
47,Austin Hooper,NE,14,24.8607576,16.50754305,166.065883,0.990452583,30.80307532,0
48,Foster Moreau,NO,11,23.0830082,15.28095143,153.2679428,1.0696666,29.3852696,0
49,Luke Schoonmaker,DAL,10,20.65190991,13.77482391,135.6820155,1.129535561,27.23282687,0
50,Daniel Bellinger,NYG,14,23.32244082,15.20623141,145.2414822,0.790724034,26.87160813,0
51,Jeremy Ruckert,NYJ,9,19.18350165,13.48600166,135.8040367,1.078880133,26.7966853,0
52,Josh Oliver,MIN,6,22.7462508,14.1026755,134.1301623,0.944879258,26.13362953,0
53,Gunnar Helm,TEN,10,20.26049256,13.18958066,137.9599759,0.8161765,25.28784692,0
54,Harrison Bryant,HOU,6,16.80082404,11.37415788,116.1301519,0.875810156,22.55495507,0
55,Teagan Quitoriano,ATL,5,14.41780704,9.097636242,94.97932237,0.700517991,18.2498583,0
56,Johnny Mundt,JAX,8,14.540603,9.640419789,90.92846616,0.674829385,17.96203282,0
57,Grant Calcaterra,PHI,9,13.64163249,9.003477443,92.82585244,0.630243421,17.56578449,0
58,Julian Hill,MIA,12,13.84358976,9.496702575,83.97653195,0.607788965,16.79273827,0
59,Charlie Woerner,ATL,5,13.863276,8.87249664,82.08506237,0.67604524,16.70102599,0
60,Drew Ogletree,IND,11,12.944379,7.986681843,85.69709618,0.622961184,16.30081764,0
61,Brock Wright,DET,8,12.5764184,8.262706889,77.76337041,0.727118206,16.27039972,0
62,Elijah Higgins,ARI,8,12.01072539,8.047186014,81.11563502,0.496988603,15.11708813,0
63,Adam Trautman,DEN,12,13.001072,7.93065392,75.74061939,0.515492505,14.63234393,0
64,Payne Durham,TB,9,12.54265936,7.625936891,76.79318449,0.518563709,14.60366915,0
65,Luke Farrell,SF,14,9.96062004,6.374796826,69.8526523,0.509983746,13.23256612,0
66,Mo Alie-Cox,IND,11,9.83772804,6.030527289,65.97396854,0.470381129,12.43494727,0
67,Hunter Long,JAX,8,9.30598592,6.328070426,61.96354811,0.44296493,12.0181796,0
68,Will Dissly,LAC,12,8.7883166,5.888172122,57.35079647,0.47105377,11.50548833,0
69,Cade Stover,HOU,6,8.6900814,5.822354538,58.57288665,0.43667659,11.38852548,0
70,Jelani Woods,NYJ,9,7.125300613,5.016211632,51.11519653,0.401296931,10.02740705,0
71,Colby Parkinson,LAR,8,7.92333479,5.245247631,51.77059411,0.367167334,10.00268723,0
72,Moliki Matavao,NO,11,7.8820028,4.839549719,51.49280901,0.33876848,9.601666643,0
73,Mitchell Evans,CAR,14,8.2639725,4.983175418,50.14505249,0.289024174,9.240238004,0
74,Tanner Hudson,CIN,10,6.3617876,4.345100931,41.51370183,0.304157065,8.148863039,0
75,Ian Thomas,LV,8,5.916456,4.046855904,41.35886734,0.257818669,7.7062267,0
76,Darnell Washington,PIT,5,5.57865,3.76558875,40.14117608,0.274887979,7.546239855,0
77,Charlie Kolar,BAL,7,4.8936496,3.210234138,36.45222351,0.346705287,7.330571141,0
78,Tanner Conner,MIA,12,5.7681624,3.945423082,36.73188889,0.239961311,7.085668294,0
79,Shane Zylstra,DET,8,5.468008,3.510461136,33.75343305,0.301899658,6.941971819,0
80,Tip Reiman,ARI,8,5.570837381,3.749173557,36.1412786,0.224950413,6.83841712,0
81,Thomas Fidone,NYG,14,5.6884002,3.640576128,34.14860408,0.182962481,6.332923355,0
82,Kylen Granson,PHI,9,4.704011203,3.090535361,31.37415714,0.210156405,5.943621821,0
83,Ben Yurosek,MIN,6,5.415774,3.30362214,30.6285778,0.204824573,5.943616286,0
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
