RK,TIGHT END,TM,BYE,FPS,VORP
1,Brock Bowers,LV,8,211.3834713,79.78733274
2,George Kittle,SF,14,199.353678,67.75753949
3,Trey McBride,ARI,8,193.6982137,62.10207517
4,Travis Kelce,KC,10,180.6632674,49.06712883
5,David Njoku,CLE,9,150.8158575,19.21971892
6,Mark Andrews,BAL,7,149.2670091,17.67087056
7,Sam LaPorta,DET,8,144.7188352,13.12269667
8,Jake Ferguson,DAL,10,142.7492813,11.15314278
9,Kyle Pitts,ATL,5,136.3233378,4.727199298
10,Tucker Kraft,GB,5,135.4369375,3.840798934
11,Hunter Henry,NE,14,133.6929205,2.096781939
12,Evan Engram,DEN,12,131.5961386,0
13,T.J. Hockenson,MIN,6,130.0335829,-1.562555618
14,Mason Taylor,NYJ,9,123.5182524,-8.07788616
15,Dalton Kincaid,BUF,7,119.9335627,-11.66257586
16,Brenton Strange,JAX,8,118.1112476,-13.48489096
17,Tyler Warren,IND,11,116.3032384,-15.29290013
18,Darren Waller,MIA,12,113.9314978,-17.66464075
19,Isaiah Likely,BAL,7,108.5505889,-23.04554961
20,Ja'Tavion Sanders,CAR,14,107.5533973,-24.04274129
21,Dallas Goedert,PHI,9,103.0868814,-28.50925713
22,Theo Johnson,NYG,14,99.38049265,-32.2156459
23,Zach Ertz,WSH,12,98.38311585,-33.2130227
24,Jonnu Smith,PIT,5,98.25890465,-33.3372339
25,Juwan Johnson,NO,11,94.07345998,-37.52267857
26,Dalton Schultz,HOU,6,92.87274917,-38.72338938
27,Chig Okonkwo,TEN,10,88.85897204,-42.73716651
28,Colston Loveland,CHI,5,88.80178677,-42.79435178
29,Cade Otton,TB,9,88.46462503,-43.13151352
30,Pat Freiermuth,PIT,5,74.86585342,-56.73028513
31,Mike Gesicki,CIN,10,72.59859281,-58.99754574
32,Terrance Ferguson,LAR,8,72.20805991,-59.38807864
33,AJ Barner,SEA,8,62.69304568,-68.90309287
34,Michael Mayer,LV,8,60.47128221,-71.12485634
35,Ben Sinnott,WSH,12,56.97083035,-74.6253082
36,Noah Gray,KC,10,54.279511,-77.31662755
37,Elijah Arroyo,SEA,8,54.0957973,-77.50034125
38,Cole Kmet,CHI,5,53.81046557,-77.78567298
39,Tyler Higbee,LAR,8,51.5091892,-80.08694936
40,Tyler Conklin,LAC,12,45.50117783,-86.09496073
41,Harold Fannin,CLE,9,45.4816775,-86.11446105
42,Oronde Gadsden,LAC,12,40.53399078,-91.06214777
43,Noah Fant,CIN,10,36.49695073,-95.09918782
44,Dawson Knox,BUF,7,33.62837327,-97.96776528
45,Tommy Tremble,CAR,14,31.53064936,-100.0654892
46,Luke Musgrave,GB,5,31.31201963,-100.2841189
47,Austin Hooper,NE,14,30.80307532,-100.7930632
48,Foster Moreau,NO,11,29.3852696,-102.210869
49,Luke Schoonmaker,DAL,10,27.23282687,-104.3633117
50,Daniel Bellinger,NYG,14,26.87160813,-104.7245304
51,Jeremy Ruckert,NYJ,9,26.7966853,-104.7994533
52,Josh Oliver,MIN,6,26.13362953,-105.462509
53,Gunnar Helm,TEN,10,25.28784692,-106.3082916
54,Harrison Bryant,HOU,6,22.55495507,-109.0411835
55,Teagan Quitoriano,ATL,5,18.2498583,-113.3462802
56,Johnny Mundt,JAX,8,17.96203282,-113.6341057
57,Grant Calcaterra,PHI,9,17.56578449,-114.0303541
58,Julian Hill,MIA,12,16.79273827,-114.8034003
59,Charlie Woerner,ATL,5,16.70102599,-114.8951126
60,Drew Ogletree,IND,11,16.30081764,-115.2953209
61,Brock Wright,DET,8,16.27039972,-115.3257388
62,Elijah Higgins,ARI,8,15.11708813,-116.4790504
63,Adam Trautman,DEN,12,14.63234393,-116.9637946
64,Payne Durham,TB,9,14.60366915,-116.9924694
65,Luke Farrell,SF,14,13.23256612,-118.3635724
66,Mo Alie-Cox,IND,11,12.43494727,-119.1611913
67,Hunter Long,JAX,8,12.0181796,-119.5779589
68,Will Dissly,LAC,12,11.50548833,-120.0906502
69,Cade Stover,HOU,6,11.38852548,-120.2076131
70,Jelani Woods,NYJ,9,10.02740705,-121.5687315
71,Colby Parkinson,LAR,8,10.00268723,-121.5934513
72,Moliki Matavao,NO,11,9.601666643,-121.9944719
73,Mitchell Evans,CAR,14,9.240238004,-122.3559005
74,Tanner Hudson,CIN,10,8.148863039,-123.4472755
75,Ian Thomas,LV,8,7.7062267,-123.8899119
76,Darnell Washington,PIT,5,7.546239855,-124.0498987
77,Charlie Kolar,BAL,7,7.330571141,-124.2655674
78,Tanner Conner,MIA,12,7.085668294,-124.5104703
79,Shane Zylstra,DET,8,6.941971819,-124.6541667
80,Tip Reiman,ARI,8,6.83841712,-124.7577214
81,Thomas Fidone,NYG,14,6.332923355,-125.2632152
82,Kylen Granson,PHI,9,5.943621821,-125.6525167
83,Ben Yurosek,MIN,6,5.943616286,-125.6525223
